date,time,symbol,strike,expiry,open,high,low,close,volume,oi,coi
250701,34200,QQQ250701C00520000,520,250701,2993,2993,2993,2993,6,1,0
250701,34200,QQQ250701C00525000,525,250701,2495,2495,2495,2495,6,1,0
250701,34200,QQQ250701C00531000,531,250701,1880,1880,1880,1880,1,1,0
250701,34200,QQQ250701C00535000,535,250701,1422,1422,1422,1422,1,1,0
250701,34200,QQQ250701C00541000,541,250701,911,911,911,911,1,1,0
250701,34200,QQQ250701C00543000,543,250701,720,720,704,704,2,2,0
250701,34200,QQQ250701C00544000,544,250701,611,618,611,618,40,6,0
250701,34200,QQQ250701C00545000,545,250701,516,535,515,515,15,6,0
250701,34200,QQQ250701C00546000,546,250701,432,438,420,420,5,4,0
250701,34200,QQQ250701C00547000,547,250701,336,359,336,340,17,10,0
250701,34200,QQQ250701C00548000,548,250701,263,280,263,272,19,10,0
250701,34200,QQQ250701C00549000,549,250701,193,218,180,189,542,87,0
250701,34200,QQQ250701C00550000,550,250701,127,153,125,130,2130,332,0
250701,34200,QQQ250701C00551000,551,250701,89,102,83,84,918,167,0
250701,34200,QQQ250701C00552000,552,250701,49,62,47,51,649,135,0
250701,34200,QQQ250701C00553000,553,250701,24,35,24,27,629,94,0
250701,34200,QQQ250701C00554000,554,250701,14,18,13,13,2060,93,0
250701,34200,QQQ250701C00555000,555,250701,8,10,7,7,353,59,0
250701,34200,QQQ250701C00556000,556,250701,4,5,3,5,177,40,0
250701,34200,QQQ250701C00557000,557,250701,2,3,2,3,80,15,0
250701,34200,QQQ250701C00558000,558,250701,2,3,2,2,328,21,0
250701,34200,QQQ250701C00559000,559,250701,2,2,1,1,20,7,0
250701,34200,QQQ250701C00560000,560,250701,1,2,1,1,22,4,0
250701,34200,QQQ250701C00561000,561,250701,1,1,1,1,271,16,0
250701,34200,QQQ250701C00562000,562,250701,1,1,1,1,27,1,0
250701,34200,QQQ250701C00563000,563,250701,1,1,1,1,3,2,0
250701,34200,QQQ250701C00565000,565,250701,1,1,1,1,3,1,0
250701,34200,QQQ250701C00566000,566,250701,1,1,1,1,5,2,0
250701,34200,QQQ250701C00573000,573,250701,1,1,1,1,3,1,0
250701,34200,QQQ250702C00498000,498,250702,5250,5250,5250,5250,1,1,0
250701,34200,QQQ250702C00531000,531,250702,1796,1796,1796,1796,1,1,0
250701,34200,QQQ250702C00535000,535,250702,1432,1432,1432,1432,1,1,0
250701,34200,QQQ250702C00542000,542,250702,835,835,835,835,1,1,0
250701,34200,QQQ250702C00546000,546,250702,488,488,484,484,11,2,0
250701,34200,QQQ250702C00547000,547,250702,426,426,413,418,51,4,0
250701,34200,QQQ250702C00548000,548,250702,330,358,330,335,14,9,0
250701,34200,QQQ250702C00549000,549,250702,271,292,263,270,126,37,0
250701,34200,QQQ250702C00550000,550,250702,210,231,206,214,1197,99,0
250701,34200,QQQ250702C00551000,551,250702,165,179,165,166,110,20,0
250701,34200,QQQ250702C00552000,552,250702,124,134,113,126,119,23,0
250701,34200,QQQ250702C00553000,553,250702,89,94,85,85,6,6,0
250701,34200,QQQ250702C00554000,554,250702,62,68,60,65,14,10,0
250701,34200,QQQ250702C00555000,555,250702,42,47,41,41,68,14,0
250701,34200,QQQ250702C00556000,556,250702,30,30,30,30,4,4,0
250701,34200,QQQ250702C00557000,557,250702,18,19,18,19,13,4,0
250701,34200,QQQ250702C00558000,558,250702,13,13,10,11,26,9,0
250701,34200,QQQ250702C00559000,559,250702,8,8,8,8,1,1,0
250701,34200,QQQ250702C00560000,560,250702,5,5,5,5,12,7,0
250701,34200,QQQ250703C00535000,535,250703,1557,1557,1557,1557,8,1,0
250701,34200,QQQ250703C00542000,542,250703,917,919,917,919,61,2,0
250701,34200,QQQ250703C00543000,543,250703,806,823,806,821,54,3,0
250701,34200,QQQ250703C00545000,545,250703,640,673,640,665,18,11,0
250701,34200,QQQ250703C00547000,547,250703,512,524,509,509,5,5,0
250701,34200,QQQ250703C00547500,547,250703,480,480,480,480,1,1,0
250701,34200,QQQ250703C00548000,548,250703,441,450,438,450,10,5,0
250701,34200,QQQ250703C00549000,549,250703,368,385,368,385,15,7,0
250701,34200,QQQ250703C00550000,550,250703,317,334,306,316,160,63,0
250701,34200,QQQ250703C00551000,551,250703,259,282,259,263,78,28,0
250701,34200,QQQ250703C00552000,552,250703,217,229,213,217,69,22,0
250701,34200,QQQ250703C00553000,553,250703,177,181,169,177,21,9,0
250701,34200,QQQ250703C00554000,554,250703,150,150,138,138,56,4,0
250701,34200,QQQ250703C00555000,555,250703,99,114,98,106,158,19,0
250701,34200,QQQ250703C00556000,556,250703,83,86,76,86,15,11,0
250701,34200,QQQ250703C00557000,557,250703,62,66,60,66,11,6,0
250701,34200,QQQ250703C00558000,558,250703,44,48,42,48,4,3,0
250701,34200,QQQ250703C00559000,559,250703,35,35,34,35,4,3,0
250701,34200,QQQ250703C00560000,560,250703,24,25,24,25,15,4,0
250701,34200,QQQ250703C00561000,561,250703,18,18,18,18,1,1,0
250701,34200,QQQ250703C00563000,563,250703,9,10,9,10,6,4,0
250701,34200,QQQ250703C00564000,564,250703,8,8,8,8,1,1,0
250701,34200,QQQ250703C00565000,565,250703,7,7,5,5,5,3,0
250701,34200,QQQ250707C00500000,500,250707,5060,5060,5060,5060,1,1,0
250701,34200,QQQ250707C00518000,518,250707,3222,3222,3222,3222,1,1,0
250701,34200,QQQ250707C00544000,544,250707,813,813,813,813,1,1,0
250701,34200,QQQ250707C00547000,547,250707,605,612,605,612,2,2,0
250701,34200,QQQ250707C00549000,549,250707,476,476,476,476,1,1,0
250701,34200,QQQ250707C00550000,550,250707,418,425,409,419,39,7,0
250701,34200,QQQ250707C00551000,551,250707,359,369,359,369,27,3,0
250701,34200,QQQ250707C00552000,552,250707,310,322,310,321,172,7,0
250701,34200,QQQ250707C00553000,553,250707,270,282,266,274,36,7,0
250701,34200,QQQ250707C00554000,554,250707,233,233,233,233,1,1,0
250701,34200,QQQ250707C00555000,555,250707,198,198,198,198,2,2,0
250701,34200,QQQ250707C00556000,556,250707,159,159,159,159,1,1,0
250701,34200,QQQ250707C00557000,557,250707,131,134,131,132,7,4,0
250701,34200,QQQ250707C00558000,558,250707,112,112,112,112,1,1,0
250701,34200,QQQ250707C00560000,560,250707,68,72,66,72,14,7,0
250701,34200,QQQ250707C00565000,565,250707,20,21,20,21,6,2,0
250701,34200,QQQ250708C00550000,550,250708,478,480,478,480,2,2,0
250701,34200,QQQ250708C00552000,552,250708,383,383,383,383,8,2,0
250701,34200,QQQ250708C00560000,560,250708,102,102,102,102,10,1,0
250701,34200,QQQ250708C00570000,570,250708,13,13,13,13,30,1,0
250701,34200,QQQ250709C00545000,545,250709,869,869,869,869,12,8,0
250701,34200,QQQ250709C00549000,549,250709,588,593,588,593,6,2,0
250701,34200,QQQ250709C00550000,550,250709,535,535,535,535,2,1,0
250701,34200,QQQ250709C00551000,551,250709,480,480,480,480,2,2,0
250701,34200,QQQ250709C00554000,554,250709,340,340,340,340,1,1,0
250701,34200,QQQ250710C00554000,554,250710,380,380,380,380,3,1,0
250701,34200,QQQ250710C00558000,558,250710,238,238,238,238,4,1,0
250701,34200,QQQ250710C00565000,565,250710,83,83,83,83,1,1,0
250701,34200,QQQ250711C00515000,515,250711,3615,3615,3615,3615,1,1,0
250701,34200,QQQ250711C00537000,537,250711,1595,1595,1595,1595,1,1,0
250701,34200,QQQ250711C00540000,540,250711,1345,1350,1345,1350,29,9,0
250701,34200,QQQ250711C00548000,548,250711,760,760,760,760,8,1,0
250701,34200,QQQ250711C00549000,549,250711,701,701,701,701,10,1,0
250701,34200,QQQ250711C00550000,550,250711,632,647,632,635,11,8,0
250701,34200,QQQ250711C00552000,552,250711,537,537,531,531,16,7,0
250701,34200,QQQ250711C00552500,552,250711,519,519,519,519,10,1,0
250701,34200,QQQ250711C00554000,554,250711,438,438,434,434,6,2,0
250701,34200,QQQ250711C00555000,555,250711,395,396,388,396,16,4,0
